Time (s),Pressure (hPa)
-0.54646,1008.344574
0.480642,1008.339539
1.50773,1008.334503
2.53483,1008.332062
3.561895,1008.332062
3.761902,1008.327942
4.822128,1008.324738
5.882351,1008.324509
6.942559,1008.323441
8.002751,1008.323212
9.062939,1008.323212
10.123143,1008.324738
11.183356,1008.327408
12.243572,1008.335648
13.303803,1008.335648
14.364043,1008.334045
15.424289,1008.334045
16.484551,1008.336945
17.544793,1008.337097
18.605095,1008.344955
19.665372,1008.356934
20.725651,1008.365555
21.785856,1008.372955
22.846105,1008.372955
23.906388,1008.369598
24.966709,1008.361053
26.027009,1008.351898
27.08731,1008.347855
28.147618,1008.347855
29.207949,1008.349533
30.268258,1008.356934
31.328559,1008.367004
32.388868,1008.367004
33.449145,1008.365631
34.509421,1008.355255
35.569699,1008.343887
36.63,1008.332672
37.690286,1008.320541
38.750577,1008.320084
39.81085,1008.320084
40.871124,1008.320923
41.931377,1008.322601
42.991624,1008.322601
44.051872,1008.322144
45.112096,1008.319702
46.172311,1008.319244
47.232573,1008.319702
48.292827,1008.319855
49.353081,1008.319855
50.413305,1008.319855
51.473575,1008.319931
52.533798,1008.320084
53.594007,1008.320084
54.654234,1008.319855
55.714482,1008.319855
56.774735,1008.320465
57.834959,1008.320465
58.895201,1008.319244
59.955422,1008.319244
61.01567,1008.319244
62.075936,1008.318024
63.136196,1008.317413
64.196464,1008.317337
65.256757,1008.317413
66.317064,1008.317566
67.377352,1008.317566
68.437604,1008.317184
69.497866,1008.316345
70.558126,1008.315735
71.618438,1008.315201
72.678703,1008.313828
73.738973,1008.311005
74.799213,1008.305969
75.859493,1008.291245
76.919729,1008.271103
77.980015,1008.246841
79.040269,1008.216705
80.100493,1008.184128
81.160709,1008.154144
82.220964,1008.122787
83.281183,1008.090744
84.341413,1008.060532
85.401649,1008.029175
86.461876,1007.998276
87.522119,1007.968292
88.582405,1007.937317
89.642648,1007.905426
90.702889,1007.875671
91.763157,1007.842789
92.823383,1007.80983
93.883616,1007.778854
94.943842,1007.74765
96.004046,1007.713547
97.064263,1007.682495
98.124498,1007.656555
99.184758,1007.635727
100.245029,1007.623444
101.305284,1007.619934
102.365546,1007.618484
103.425778,1007.618484
104.486014,1007.621765
105.546244,1007.630386
106.60649,1007.638702
107.666735,1007.647934
108.727025,1007.656937
109.787284,1007.667084
110.847504,1007.669373
111.90774,1007.67067
112.967996,1007.67067
114.028251,1007.668991
115.088534,1007.66243
116.148788,1007.653122
117.209052,1007.638397
118.269307,1007.628326
119.329537,1007.619553
120.389752,1007.61322
121.449979,1007.611313
122.510187,1007.610168
123.570452,1007.610168
124.630795,1007.610168
125.691118,1007.610855
126.751396,1007.610855
127.811661,1007.610397
128.871917,1007.610016
129.932179,1007.610397
130.992426,1007.611313
132.05269,1007.612381
133.112945,1007.612381
134.17322,1007.612381
135.233467,1007.612381
136.293713,1007.612076
137.353986,1007.612762
138.41425,1007.613144
139.474513,1007.613449
140.534748,1007.613449
141.594984,1007.611771
142.655224,1007.609787
143.715448,1007.608948
144.775696,1007.607651
145.835955,1007.607498
146.896216,1007.607498
147.956445,1007.609558
149.016696,1007.610855
150.076938,1007.610855
151.137173,1007.610626
152.197404,1007.610397
153.257634,1007.609787
154.317899,1007.607269
155.378164,1007.605972
156.438439,1007.605972
157.498683,1007.605972
158.558923,1007.607346
159.619167,1007.608795
160.679386,1007.6091
161.739558,1007.6091
162.799749,1007.607498
163.859946,1007.605743
164.92017,1007.605743
165.980393,1007.605743
167.040574,1007.60376
168.100709,1007.60376
169.160818,1007.601852
170.220939,1007.59697
171.281068,1007.594833
172.341208,1007.594833
173.401399,1007.596359
174.461533,1007.596741
175.521695,1007.596741
176.581868,1007.593536
177.641995,1007.584305
178.702076,1007.567978
179.762209,1007.545853
180.822345,1007.518616
181.882459,1007.489014
182.942601,1007.458191
184.002767,1007.428741
185.062945,1007.40181
186.123076,1007.372818
187.183221,1007.342453
188.243407,1007.313766
189.303589,1007.293243
190.36374,1007.273407
191.423865,1007.256088
192.484013,1007.239532
193.544159,1007.221603
194.604351,1007.198944
195.664554,1007.170258
196.724708,1007.14119
197.784838,1007.112808
198.844987,1007.084122
199.905129,1007.049866
200.965262,1007.010193
202.025417,1006.974335
203.085586,1006.942902
204.145755,1006.917801
205.205889,1006.902618
206.266024,1006.90094
207.326164,1006.90094
208.386318,1006.902466
209.44644,1006.902466
210.506581,1006.902466
211.566722,1006.901627
212.626851,1006.90094
213.687008,1006.900101
214.747132,1006.900101
215.807249,1006.900101
216.867326,1006.900558
217.927446,1006.900635
218.987556,1006.900787
220.047687,1006.900635
221.107799,1006.900101
